what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1378173391669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1378173391930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1378173392147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173396155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173421949
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378173422068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173422993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173520686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173522449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173799440
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1378173801631
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1378173801833
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1378173801998
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1378173802120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173803615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173804896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1378173806222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173808646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173810514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173812025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173873062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173874598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173877232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378173880785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378174318966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378174321235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378174407781
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1378174411575
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1378174411612
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1378174411686
